Feature,Importance
MonthlyIncome,0.07136491837112861
Age,0.06392354125450046
TotalWorkingYears,0.06006141779970314
DailyRate,0.05114191971971855
HourlyRate,0.0503587631352941
MonthlyRate,0.04795352381252486
EmployeeNumber,0.04347786874242469
DistanceFromHome,0.04332830996882689
OverTime,0.04224434343016673
YearsAtCompany,0.03975498920247604
YearsWithCurrManager,0.036900246472273024
NumCompaniesWorked,0.03373891621353296
PercentSalaryHike,0.03248054478084931
JobRole,0.03208893387177489
EnvironmentSatisfaction,0.02734646971788414
JobSatisfaction,0.02630570287177504
JobInvolvement,0.026026681735224134
YearsInCurrentRole,0.025965918152949054
RelationshipSatisfaction,0.02547973471331198
TrainingTimesLastYear,0.02499067584884293
StockOptionLevel,0.024513303442722796
WorkLifeBalance,0.024416442346612
EducationField,0.023437019142637676
YearsSinceLastPromotion,0.023216494567206567
MaritalStatus,0.01998864864767961
JobLevel,0.018581561754447532
Education,0.01841715487358838
BusinessTravel,0.01584620798471022
Department,0.012400727372615484
Gender,0.009258931822804321
PerformanceRating,0.004990088229793894
EmployeeCount,0.0
StandardHours,0.0
Over18,0.0
