,Attrition
Attrition,1.0
OverTime,0.24611799424580436
MaritalStatus,0.1620702346570145
DistanceFromHome,0.07792358295570369
JobRole,0.0671514950495707
Department,0.06399059633809044
NumCompaniesWorked,0.04349373905781363
Gender,0.029453253175141608
EducationField,0.026845545711446116
MonthlyRate,0.015170212530471473
PerformanceRating,0.0028887517110809
BusinessTravel,7.377694602219632e-05
HourlyRate,-0.006845549572139952
EmployeeNumber,-0.010577242759242786
PercentSalaryHike,-0.01347820205743911
Education,-0.031372819640049315
YearsSinceLastPromotion,-0.033018775142584306
RelationshipSatisfaction,-0.0458722788811267
DailyRate,-0.05665199186762936
TrainingTimesLastYear,-0.05947779855642057
WorkLifeBalance,-0.06393904721740885
EnvironmentSatisfaction,-0.10336897833793603
JobSatisfaction,-0.10348112606902123
JobInvolvement,-0.13001595678605374
YearsAtCompany,-0.13439221398997708
StockOptionLevel,-0.13714491893332562
YearsWithCurrManager,-0.1561993159016288
Age,-0.15920500686577962
MonthlyIncome,-0.15983958238498852
YearsInCurrentRole,-0.16054500426770077
JobLevel,-0.16910475093102761
TotalWorkingYears,-0.17106324613622612
EmployeeCount,
Over18,
StandardHours,
